label,text
ham,Nhớ học nhóm nhé
ham,Bạn học nhóm chiều nay không?
spam,Click vào đây ngay để nhận thẻ cào miễn phí
ham,"Hey, nộp bài tập chiều nay"
ham,Hôm nay đi học sáng mai
spam,Nhanh tay để nhận voucher 100k miễn phí
ham,Đừng quên nộp bài tập sáng mai
ham,Bạn đi học cuối tuần không?
ham,Đừng quên nộp bài tập cuối tuần
spam,"Khuyến mãi ưu đãi đặc biệt, Đăng ký ngay"
ham,"Xin chào, học nhóm chiều nay"
ham,Hôm nay học nhóm cuối tuần
ham,Bạn nộp bài tập cuối tuần không?
ham,Hôm nay đi học lúc 8h
ham,Đừng quên nộp bài tập sáng mai
ham,"Hello, họp online cuối tuần"
ham,Hôm nay nộp bài tập sáng mai
ham,Nhớ nộp bài tập nhé
ham,Bạn đi học cuối tuần không?
ham,Bạn nộp bài tập chiều nay không?
ham,Bạn đi ăn trưa cuối tuần không?
ham,Bạn đi ăn trưa chiều nay không?
spam,Mua ngay để nhận thẻ cào miễn phí miễn phí
ham,Hôm nay học nhóm lúc 8h
ham,Đừng quên nộp bài tập cuối tuần
ham,"Hello, đi học cuối tuần"
ham,Nhớ họp online nhé
ham,Đừng quên học nhóm chiều nay
spam,"Bạn đã trúng thẻ cào miễn phí, Nhấn vào link ngay"
ham,Đừng quên đi ăn trưa hôm nay
spam,"Cơ hội Nhanh tay voucher 100k, đừng bỏ lỡ"
ham,Hôm nay đi học chiều nay
ham,Nhớ nộp bài tập nhé
ham,Nhớ học nhóm nhé
ham,Bạn họp online hôm nay không?
ham,Hôm nay học nhóm sáng mai
ham,Đừng quên học nhóm lúc 8h
spam,"Bạn đã trúng ưu đãi 50%, Click vào đây ngay"
ham,"Chào bạn, họp online sáng mai"
ham,"Hello, nộp bài tập hôm nay"
spam,"Bạn đã trúng ưu đãi 50%, Nhanh tay ngay"
ham,Nhớ đi ăn trưa nhé
spam,"Bạn đã trúng voucher 100k, Nhanh tay ngay"
ham,Đừng quên đi học lúc 8h
ham,Đừng quên họp online cuối tuần
spam,"Cơ hội Mua ngay ưu đãi 50%, đừng bỏ lỡ"
ham,"Hey, nộp bài tập chiều nay"
ham,Đừng quên đi học chiều nay
ham,"Chào bạn, đi học lúc 8h"
ham,Đừng quên đi ăn trưa lúc 8h
spam,Nhấn vào link để nhận voucher 100k miễn phí
ham,Nhớ đi ăn trưa nhé
spam,Mua ngay ngay để nhận thẻ cào miễn phí
ham,Bạn đi học cuối tuần không?
ham,"Chào bạn, đi ăn trưa cuối tuần"
spam,Mua ngay ngay để nhận iPhone 15
ham,Nhớ đi ăn trưa nhé
